scenario,policy_family,K,load_reuse,exact_reuse,sketch_reuse,sketch_reuse_gain_capture,load_ttft_p95_ms,exact_ttft_p95_ms,sketch_ttft_p95_ms,sketch_ttft_gain_capture,exact_metadata_B,sketch_metadata_B,sketch_metadata_vs_exact,writing_guidance
eviction,dualmap,2,0.8019,0.8179,0.8049,0.1875,150.0,150.0,150.0,n/a,80576,14272,0.1771,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,dualmap,4,0.8019,0.8179,0.8069,0.3125,150.0,150.0,150.0,n/a,80576,22272,0.2764,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,dualmap,8,0.8019,0.8179,0.8107,0.55,150.0,150.0,150.0,n/a,80576,37312,0.4631,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,dualmap,16,0.8019,0.8179,0.8118,0.6188,150.0,150.0,150.0,n/a,80576,62272,0.7728,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,power2,2,0.1038,0.8434,0.4144,0.42,150.0,150.0,150.0,n/a,90432,14336,0.1585,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,power2,4,0.1038,0.8434,0.5097,0.5488,150.0,150.0,150.0,n/a,90432,22400,0.2477,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,power2,8,0.1038,0.8434,0.6093,0.6835,150.0,150.0,150.0,n/a,90432,37952,0.4197,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,power2,16,0.1038,0.8434,0.7507,0.8747,150.0,150.0,150.0,n/a,90432,67840,0.7502,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,slo_affinity,2,0.7979,0.8119,0.8075,0.6857,150.0,150.0,150.0,n/a,80640,14336,0.1778,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,slo_affinity,4,0.7979,0.8119,0.8137,1.1286,150.0,150.0,150.0,n/a,80640,22400,0.2778,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,slo_affinity,8,0.7979,0.8119,0.8119,1.0,150.0,150.0,150.0,n/a,80640,36672,0.4548,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,slo_affinity,16,0.7979,0.8119,0.8173,1.3857,150.0,150.0,150.0,n/a,80640,61888,0.7675,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,dualmap,2,0.8654,0.9407,0.9009,0.4714,150.0,150.0,150.0,n/a,54912,14208,0.2587,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,dualmap,4,0.8654,0.9407,0.9159,0.6707,150.0,150.0,150.0,n/a,54912,21440,0.3904,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,dualmap,8,0.8654,0.9407,0.9317,0.8805,150.0,150.0,150.0,n/a,54912,33920,0.6177,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
